"","bird_id","colony","trip","trip_id","start_time","end_time","nest_attendance","trip_duration","max_dist","dest_lat","dest_long","departing_angle","dest_angle","max_speed"
"110",12656,"Oronsay",110,"110_12656",2015-06-05 02:14:17,2015-06-05 05:14:10,240.058333333333,179.891666666667,4.85913226655502,56.068536,-6.202562,18.2337299155689,9.75552438449138,2.25488628782044
"111",12656,"Oronsay",111,"111_12656",2015-06-05 09:44:14,2015-06-05 10:44:10,270.066666666667,59.9333333333333,3.33733708927538,56.054163,-6.199841,17.5661470392842,17.5661470392842,1.80375440748303
"113",12656,"Oronsay",113,"113_12656",2015-06-05 15:44:06,2015-06-05 16:14:06,NA,30.0083333333333,0.301448466459322,56.022882,-6.216732,-169.71584972045,-169.71584972045,0.126044305678689
"115",12656,"Oronsay",115,"115_12656",2015-06-06 02:13:59,2015-06-06 04:14:01,NA,120.025,4.51091067695054,56.064841,-6.198212,14.2689293811034,14.0357268206542,2.43586070001904
"116",12656,"Oronsay",116,"116_12656",2015-06-06 06:13:59,2015-06-06 06:43:59,119.966666666667,30,2.72629500837326,56.006389,-6.242828,-142.586935898818,-142.586935898818,1.46949508792986
"118",12656,"Oronsay",118,"118_12656",2015-06-06 12:13:58,2015-06-06 20:13:51,NA,479.875,5.79140713880984,56.073565,-6.179978,14.4230442339318,22.4325043514478,1.44560575915601
"119",12656,"Oronsay",119,"119_12656",2015-06-06 21:13:51,2015-06-06 22:13:46,60,59.925,3.27898330372797,56.052802,-6.19578,22.0330187696089,22.0330187696089,1.78285133210523
"120",12656,"Oronsay",120,"120_12656",2015-06-07 02:13:46,2015-06-07 05:13:44,240,179.958333333333,4.2904676199163,56.062353,-6.19539,17.4326869003783,17.5692217246106,2.31451850945621
"121",12656,"Oronsay",121,"121_12656",2015-06-07 06:43:44,2015-06-07 07:13:44,90.0083333333333,29.9916666666667,0.307958122377508,56.022777,-6.216366,-172.281973652115,-172.281973652115,0.113242652228269
"122",12656,"Oronsay",122,"122_12656",2015-06-07 14:13:40,2015-06-07 16:43:39,NA,149.991666666667,5.31018901820178,56.070445,-6.186997,44.1843571080632,19.7172075501348,2.13639194945464
"123",12656,"Oronsay",123,"123_12656",2015-06-07 19:43:38,2015-06-07 20:13:37,179.975,29.9916666666667,0.312711683636128,56.022715,-6.216148,-172.507525965645,-172.507525965645,0.121896202065201
"124",12656,"Oronsay",124,"124_12656",2015-06-07 20:43:36,2015-06-07 22:13:36,29.975,90.0083333333333,2.40930107843549,56.039707,-6.186349,108.885026909307,45.8544296691784,0.88823034291572
"125",12656,"Oronsay",125,"125_12656",2015-06-07 23:43:37,2015-06-08 01:43:36,90.0166666666667,119.983333333333,0.306147522193041,56.022831,-6.21668,-170.222849093995,145.401907223235,0.00564416496161053
"126",12656,"Oronsay",126,"126_12656",2015-06-08 02:13:36,2015-06-08 05:13:31,29.9916666666667,179.925,4.17866337501173,56.06141,-6.196016,18.8233950280669,17.3250438280171,2.25360646067272
"127",12656,"Oronsay",127,"127_12656",2015-06-08 12:13:32,2015-06-08 13:38:28,420.016666666667,84.9333333333333,4.49193507591487,56.064634,-6.197986,36.6207174709322,14.478098873581,1.74521913346063
"128",12656,"Oronsay",128,"128_12656",2015-06-08 14:58:28,2015-06-08 15:18:25,79.9916666666667,19.95,3.23206568739661,56.049175,-6.185497,36.1048983171518,36.1048983171518,2.6295438261959
"132",12656,"Oronsay",132,"132_12656",2015-06-10 03:18:11,2015-06-10 06:18:07,NA,179.941666666667,3.44684364118148,56.053742,-6.192853,21.108613525608,26.8818311485484,2.52011574670902
"136",12656,"Oronsay",136,"136_12656",2015-06-11 14:37:51,2015-06-11 14:57:50,NA,19.975,0.529845654095552,56.028333,-6.208672,61.7192071005694,61.7192071005694,0.355808163280329
"138",12656,"Oronsay",138,"138_12656",2015-06-12 03:17:42,2015-06-12 03:37:45,NA,20.05,0.33036044707647,56.023499,-6.219412,-172.768858214979,-172.768858214979,0.0567675436432979
"139",12656,"Oronsay",139,"139_12656",2015-06-12 05:37:43,2015-06-12 09:37:43,119.966666666667,239.991666666667,2.88354641799143,56.044357,-6.183793,44.3469467087123,43.8882446327885,2.24905927267225
"141",12656,"Oronsay",141,"141_12656",2015-06-12 15:57:36,2015-06-12 22:37:33,NA,399.941666666667,6.55516330358545,56.077937,-6.16767,44.119385733078,27.1050683861679,2.29244251642277
"142",12656,"Oronsay",142,"142_12656",2015-06-13 01:57:32,2015-06-13 05:37:29,199.983333333333,219.958333333333,4.22393716693863,56.062782,-6.202968,34.6180425486692,10.7417832124746,1.45868598578077
"144",12656,"Oronsay",144,"144_12656",2015-06-13 16:52:26,2015-06-14 06:12:17,NA,799.858333333333,4.73833980818218,56.066054,-6.192453,41.9300905764711,17.437231804469,4.68320756421611
"146",12656,"Oronsay",146,"146_12656",2015-06-15 02:02:33,2015-06-15 06:32:34,NA,270.008333333333,4.77093221469722,56.066088,-6.190961,17.216723712689,19.0175446758253,4.91204305888508
"148",12656,"Oronsay",148,"148_12656",2015-06-16 10:07:19,2015-06-16 12:07:16,NA,119.941666666667,6.33761824308306,56.076884,-6.171747,58.1255189850877,25.6953002635573,4.52847004343013
"149",12656,"Oronsay",149,"149_12656",2015-06-16 14:47:17,2015-06-16 20:27:10,160.016666666667,339.891666666667,3.15143482601377,56.00135,-6.241851,-144.14675695174,-149.845598010001,2.21860463038301
"153",12656,"Oronsay",153,"153_12656",2015-06-18 17:31:47,2015-06-19 06:01:43,NA,749.933333333333,4.3021223407492,56.062247,-6.194167,-144.90171930791,17.8867918583498,1.9647902731912
"156",12656,"Oronsay",156,"156_12656",2015-06-22 02:01:05,2015-06-22 06:01:06,NA,240.016666666667,4.56869611544768,56.065447,-6.198749,13.7964303229732,12.6929428644883,2.49493346023576
"158",12656,"Oronsay",158,"158_12656",2015-06-23 01:30:51,2015-06-23 06:00:57,NA,270.108333333333,4.65144322238504,56.065874,-6.196328,14.3133962555662,15.30716337156,2.48090260133501
"160",12656,"Oronsay",160,"160_12656",2015-06-24 01:55:43,2015-06-24 22:35:27,NA,1239.73333333333,18.7913713941982,56.192329,-6.261149,25.2847279740465,-8.63125798957317,7.96542883708551
"162",12656,"Oronsay",162,"162_12656",2015-06-25 14:35:20,2015-06-26 06:15:15,NA,939.916666666667,5.94604270343993,56.078851,-6.219697,25.0289836732656,-2.51846433689586,2.73814413911916
"163",12656,"Oronsay",163,"163_12656",2015-06-26 08:35:12,2015-06-26 09:55:14,139.941666666667,80.0416666666667,0.352755130871869,56.022624,-6.217873,-161.716290866146,-166.593976302418,0.210919185887898
"165",12656,"Oronsay",165,"165_12656",2015-06-26 14:15:08,2015-06-26 16:35:09,NA,140.016666666667,8.90036492865205,56.105424,-6.213035,-19.0973306844989,1.05776397324209,4.98502548070756
"167",12656,"Oronsay",167,"167_12656",2015-06-27 13:55:01,2015-06-27 14:15:01,NA,20,0.414288932830755,56.028432,-6.219591,-47.7371102429399,-47.7371102429399,0.271870034153816
"168",12656,"Oronsay",168,"168_12656",2015-06-27 15:54:55,2015-06-28 05:54:49,99.9,839.9,9.09837088579346,56.107112,-6.222804,-29.3671844881676,-2.96696183871377,5.18103299352272
"169",12656,"Oronsay",169,"169_12656",2015-06-28 14:14:46,2015-06-28 22:14:36,NA,479.841666666667,3.02540067479904,56.004156,-6.245519,-111.624765958782,-143.040943680144,1.44578549265308
"170",12656,"Oronsay",170,"170_12656",2015-06-28 22:54:39,2015-06-29 13:54:34,40.05,899.908333333333,6.94383757719281,56.081506,-6.166475,-31.5489610999175,26.312193451244,2.06978237093631
"171",12656,"Oronsay",171,"171_12656",2015-06-29 15:34:31,2015-06-29 15:54:32,99.9583333333333,20.0083333333333,0.335447873232149,56.028465,-6.214546,11.5168371916597,11.5168371916597,0.209004372284635
"172",12656,"Oronsay",172,"172_12656",2015-06-29 18:34:28,2015-06-29 22:34:26,159.933333333333,239.966666666667,2.16096097015922,56.011798,-6.240041,-132.34357213881,-136.446292482147,1.61549099502288
"173",12656,"Oronsay",173,"173_12656",2015-06-30 00:19:28,2015-06-30 05:19:25,105.041666666667,299.95,4.57665950614334,56.063618,-6.242979,-45.6246250070166,-22.3854344266812,1.45892273638598
"174",12656,"Oronsay",174,"174_12656",2015-06-30 05:49:22,2015-06-30 06:49:23,29.95,60.0083333333333,0.338069053448093,56.022916,-6.218347,-157.844773663406,-157.844773663406,0.138982779559161
"175",12656,"Oronsay",175,"175_12656",2015-06-30 07:49:21,2015-06-30 12:49:18,59.9666666666667,299.958333333333,0.341100997882858,56.022752,-6.217918,-157.749605928841,-162.218754698453,0.140114222972984
"177",12656,"Oronsay",177,"177_12656",2015-07-01 02:19:12,2015-07-01 04:49:12,NA,150,2.01607541152025,56.014079,-6.240587,-129.270000533308,-130.392428758377,0.968358355992845
"178",12656,"Oronsay",178,"178_12656",2015-07-01 05:49:13,2015-07-01 06:19:17,60.0083333333333,30.0666666666667,1.85730303478361,56.019646,-6.187609,112.813984702238,112.813984702238,0.988876380007212
"179",12656,"Oronsay",179,"179_12656",2015-07-01 07:19:13,2015-07-01 07:49:13,59.9416666666667,30,2.43343177979088,56.005244,-6.200849,158.325267682356,158.325267682356,1.31375943715812
"180",12656,"Oronsay",180,"180_12656",2015-07-01 10:49:09,2015-07-01 21:19:04,NA,629.916666666667,7.71488673657092,56.094493,-6.204066,26.3536751314653,5.16810896768323,3.46251877145431
"181",12656,"Oronsay",181,"181_12656",2015-07-01 22:49:04,2015-07-02 05:48:59,90.0083333333333,419.908333333333,4.62348352963094,56.065437,-6.195182,43.8727270870352,16.555878058855,1.21851516573762
"183",12656,"Oronsay",183,"183_12656",2015-07-02 16:48:52,2015-07-03 05:18:47,NA,749.908333333333,4.66437565991707,56.06455,-6.188403,21.8434224734898,21.4917785539709,2.52495127318837
"187",12656,"Oronsay",187,"187_12656",2015-07-05 05:58:22,2015-07-05 06:28:20,NA,29.9666666666667,0.303104661194352,56.022822,-6.214627,163.910733455505,163.910733455505,0.0298505567755454
"188",12656,"Oronsay",188,"188_12656",2015-07-05 12:28:14,2015-07-05 14:28:17,NA,120.05,6.46573031288094,56.077303,-6.168609,44.5301041669843,27.1512663351792,2.00975334081029
